day,hour,spends,transactions,items
2010-02-07,14,256.62000000000006,6,63
2010-02-07,15,193.04000000000008,2,43
2010-02-07,16,150.02999999999997,3,44
2010-02-07,17,240.3400000000001,4,67
2010-02-08,9,191.8,2,10
2010-02-08,11,155.26,3,33
2010-02-08,12,16.1,1,6
2010-02-08,13,146.06000000000003,2,38
2010-02-08,14,4.84,1,1
2010-02-08,15,104.74999999999996,1,37
2010-02-08,16,333.42000000000013,7,95
2010-02-08,17,37.74,1,10
2010-02-08,19,96.67999999999995,2,32
2010-02-08,20,45.809999999999995,1,21
2010-02-08,21,105.86999999999996,2,25
2010-02-09,11,59.35000000000001,2,24
2010-02-09,12,151.82999999999998,1,28
2010-02-09,13,251.1600000000002,4,75
2010-02-09,14,131.85999999999993,2,44
2010-02-09,15,54.150000000000006,3,26
2010-02-09,16,113.93999999999998,2,34
2010-02-09,17,55.500000000000014,2,21
2010-02-09,18,61.779999999999994,2,21
2010-02-09,21,28.779999999999998,1,2
2010-02-10,9,78.50000000000003,2,24
2010-02-10,10,100.14999999999999,4,34
2010-02-10,12,68.87,3,18
2010-02-10,15,29.33,2,7
2010-02-10,16,31.570000000000004,1,15
2010-02-10,17,87.89,5,26
2010-02-10,18,113.60999999999997,3,32
2010-02-10,20,76.75,3,23
2010-02-10,21,43.68999999999999,3,11
2010-02-11,9,3.48,1,2
2010-02-11,10,56.82000000000001,1,14
2010-02-11,12,84.94000000000001,2,17
2010-02-11,13,50.410000000000004,3,13
2010-02-11,15,24.700000000000003,2,10
2010-02-11,17,23.39,2,10
2010-02-11,19,77.30000000000001,2,25
2010-02-11,20,86.27999999999997,2,32
2010-02-11,21,54.69,2,18
2010-02-12,10,20.36,1,10
2010-02-12,11,30.309999999999995,1,9
2010-02-12,12,41.830000000000005,2,13
2010-02-12,13,56.49,2,18
2010-02-12,14,38.78,1,15
2010-02-12,15,72.23000000000002,1,24
2010-02-12,16,56.400000000000006,1,23
2010-02-12,17,232.36000000000004,3,64
2010-02-12,18,30.81,2,9
2010-02-12,19,67.37,3,25
2010-02-12,20,13.1,1,6
2010-02-13,9,24.34,1,3
2010-02-13,10,16.799999999999997,1,9
2010-02-13,11,315.73999999999995,5,84
2010-02-13,12,28.409999999999997,2,11
2010-02-13,13,44.790000000000006,2,17
2010-02-13,14,75.93,2,26
2010-02-13,16,77.78,2,38
2010-02-13,17,203.7500000000001,6,65
2010-02-13,18,191.74000000000004,2,60
2010-02-13,19,20.160000000000004,1,6
